Id,Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
1,6300 BLOCK OF N LOMBARD ST,23-917974,Property,University Park,31-07-2023,1926,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,31-07-2023,1
2,600 BLOCK OF SE 146TH AVE,23-200198,Property,Centennial,31-07-2023,555,Motor Vehicle Theft,Motor Vehicle Theft,45.5177293,-122.5133406,7686091,681281,31-07-2023,1
3,700 BLOCK OF SW 10TH AVE,23-917935,Property,Downtown,31-07-2023,1110,Larceny Offenses,Theft From Motor Vehicle,45.51965842,-122.6822247,7642836,683108,31-07-2023,1
4,14000 BLOCK OF NE AIRPORT WAY,23-917921,Property,Argay,31-07-2023,900,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.56173453,-122.5183898,7685198,697353,31-07-2023,1
5,700 BLOCK OF SW 5TH AVE,23-200558,Person,Downtown,31-07-2023,1601,Assault Offenses,Simple Assault,45.51845189,-122.6777057,7643982,682637,31-07-2023,1
6,200 BLOCK OF SW ASH ST,23-917942,Property,Old Town/Chinatown,31-07-2023,2010,Larceny Offenses,All Other Larceny,45.52208769,-122.6729,7645249,683929,31-07-2023,1
7,700 BLOCK OF SE 29TH AVE,23-200713,Person,Sunnyside,31-07-2023,1934,Assault Offenses,Intimidation,45.51750095,-122.6361403,7654623,682006,31-07-2023,1
8,700 BLOCK OF SE 19TH AVE,23-200394,Property,Buckman East,31-07-2023,0,Larceny Offenses,Theft From Motor Vehicle,45.51753638,-122.6466048,7651942,682090,31-07-2023,1
9,NW 19TH AVE / NW LOVEJOY ST,23-200430,Society,Northwest,31-07-2023,1330,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.52993804,-122.6904935,7640819,686912,31-07-2023,1
10,NW 19TH AVE / NW LOVEJOY ST,23-200430,Society,Northwest,31-07-2023,1330,Weapon Law Violations,Weapons Law Violations,45.52993804,-122.6904935,7640819,686912,31-07-2023,1
11,3700 BLOCK OF SE LAMBERT ST,23-917898,Property,Eastmoreland,31-07-2023,942,Larceny Offenses,Theft From Building,45.4670259,-122.6238674,7657284,663526,31-07-2023,1
12,12300 BLOCK OF SE STARK ST,23-917926,Property,Hazelwood,31-07-2023,1004,Larceny Offenses,Shoplifting,45.51907672,-122.5362073,7680244,681919,31-07-2023,1
13,6700 BLOCK OF SE 82ND AVE,23-918007,Property,Brentwood-Darlington,31-07-2023,1930,Vandalism,Vandalism,45.47379856,-122.5791301,7668821,665696,31-07-2023,1
14,5200 BLOCK OF NE 148TH AVE,23-918013,Property,Argay,31-07-2023,400,Burglary,Burglary,45.56054801,-122.5103218,7687253,696869,31-07-2023,1
15,7200 BLOCK OF SE 92ND AVE,23-200205,Person,Lents,31-07-2023,617,Assault Offenses,Aggravated Assault,45.47035475,-122.5686825,7671468,664372,31-07-2023,1
16,10200 BLOCK OF NE CASCADES PKWY,23-918001,Property,,31-07-2023,1818,Larceny Offenses,Shoplifting,45.57239912,-122.5567585,7675473,701488,31-07-2023,1
17,3700 BLOCK OF SE BELMONT ST,23-918023,Property,Sunnyside,31-07-2023,0,Larceny Offenses,Theft From Motor Vehicle,45.51648685,-122.6251358,7657433,681562,31-07-2023,1
18,7200 BLOCK OF SE 92ND AVE,23-200205,Property,Lents,31-07-2023,617,Vandalism,Vandalism,45.47035475,-122.5686825,7671468,664372,31-07-2023,1
19,300 BLOCK OF NW 10TH AVE,23-917999,Property,Pearl,31-07-2023,1730,Larceny Offenses,All Other Larceny,45.52547142,-122.6812577,7643141,685220,31-07-2023,1
20,3700 BLOCK OF S RIVER PKWY,23-917915,Property,South Portland,31-07-2023,605,Larceny Offenses,Theft From Motor Vehicle,45.49604248,-122.66968,7645819,674414,31-07-2023,1
21,300 BLOCK OF SW 11TH AVE,23-802684,Property,Downtown,31-07-2023,715,Burglary,Burglary,45.52237601,-122.6821535,7642881,684098,31-07-2023,1
22,6400 BLOCK OF N INTERSTATE AVE,23-917973,Property,Arbor Lodge,31-07-2023,1637,Larceny Offenses,Shoplifting,45.5695264,-122.681975,7643391,701282,31-07-2023,1
23,300 BLOCK OF SW MORRISON ST,23-918033,Property,Downtown,31-07-2023,1830,Larceny Offenses,Theft From Motor Vehicle,45.51843164,-122.6760228,7644413,682618,31-07-2023,1
24,7500 BLOCK OF NE RODNEY AVE,23-917939,Property,Piedmont,31-07-2023,0,Vandalism,Vandalism,45.57757741,-122.6650709,7647797,704100,31-07-2023,1
25,14000 BLOCK OF NE AIRPORT WAY,23-917918,Property,Argay,31-07-2023,850,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.56173453,-122.5183898,7685198,697353,31-07-2023,1
26,700 BLOCK OF SW BROADWAY,23-200424,Person,Downtown,31-07-2023,1311,Assault Offenses,Aggravated Assault,45.51902839,-122.6798588,7643436,682862,31-07-2023,1
27,1300 BLOCK OF SW GIBBS ST,23-917930,Property,Homestead,31-07-2023,1730,Vandalism,Vandalism,45.49920684,-122.6934674,7639753,675732,31-07-2023,1
28,6900 BLOCK OF NE SANDY BLVD,23-200820,Property,Roseway,31-07-2023,635,Motor Vehicle Theft,Motor Vehicle Theft,45.54728464,-122.5917401,7666281,692564,31-07-2023,1
29,SW 3RD AVE / SW ALDER ST,23-917993,Property,Downtown,31-07-2023,900,Larceny Offenses,Theft From Motor Vehicle,45.51891961,-122.6751751,7644635,682790,31-07-2023,1
30,2000 BLOCK OF NW KEARNEY ST,23-200889,Property,Northwest,31-07-2023,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.52921371,-122.6935142,7640038,686669,31-07-2023,1
31,9600 BLOCK OF SW BARBUR BLVD,23-917909,Property,Multnomah,31-07-2023,1150,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.45562357,-122.7159956,7633543,660005,31-07-2023,1
32,4500 BLOCK OF SE WOODSTOCK BLVD,23-917901,Property,Woodstock,31-07-2023,1652,Larceny Offenses,Shoplifting,45.47913443,-122.6159504,7659430,667886,31-07-2023,1
33,4500 BLOCK OF SE WOODSTOCK BLVD,23-917899,Property,Woodstock,31-07-2023,1715,Larceny Offenses,Shoplifting,45.47913443,-122.6159504,7659430,667886,31-07-2023,1
34,800 BLOCK OF SW 4TH AVE,23-917964,Property,Downtown,31-07-2023,2330,Larceny Offenses,Theft From Motor Vehicle,45.51750687,-122.677045,7644142,682288,31-07-2023,1
35,2800 BLOCK OF SE 122ND AVE,23-200880,Property,Powellhurst-Gilbert,31-07-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.50144708,-122.537729,7679692,675503,31-07-2023,1
36,2400 BLOCK OF NE WYGANT ST,23-917953,Property,Concordia,31-07-2023,2330,Fraud Offenses,Identity Theft,45.5576296,-122.6406895,7653845,696663,31-07-2023,1
37,SW 20TH PL / SW MORRISON ST,23-918021,Property,Goose Hollow,31-07-2023,1700,Vandalism,Vandalism,45.52301132,-122.6933136,7640028,684407,31-07-2023,1
38,5900 BLOCK OF N CUTTER CIR,23-200533,Property,Overlook,31-07-2023,30,Larceny Offenses,All Other Larceny,45.56839092,-122.7052557,7637420,701030,31-07-2023,1
39,SW 21ST AVE / SW MYRTLE ST,23-918003,Property,Southwest Hills,31-07-2023,230,Vandalism,Vandalism,45.51157557,-122.6990572,7638443,680279,31-07-2023,1
40,6300 BLOCK OF N LOMBARD ST,23-917959,Property,University Park,31-07-2023,1848,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,31-07-2023,1
41,SE 7TH AVE / SE LINCOLN ST,23-200408,Property,Hosford-Abernethy,31-07-2023,2330,Motor Vehicle Theft,Motor Vehicle Theft,45.50795044,-122.6587369,7648740,678679,31-07-2023,1
42,6300 BLOCK OF N LOMBARD ST,23-917981,Property,University Park,31-07-2023,1611,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,31-07-2023,1
43,6300 BLOCK OF N LOMBARD ST,23-918016,Property,University Park,31-07-2023,1757,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,31-07-2023,1
44,13800 BLOCK OF NE AIRPORT WAY,23-917920,Property,Argay,31-07-2023,800,Larceny Offenses,All Other Larceny,45.56186325,-122.5205893,7684636,697414,31-07-2023,1
45,3800 BLOCK OF SE 50TH AVE,23-200283,Property,Creston-Kenilworth,31-07-2023,2117,Burglary,Burglary,45.49483249,-122.6112375,7660788,673576,31-07-2023,1
46,SE MT SCOTT BLVD / SE 92ND AVE,23-200505,Property,Lents,31-07-2023,1447,Robbery,Robbery,45.46773652,-122.5685755,7671471,663417,31-07-2023,1
47,NW 9TH AVE / NW NORTHRUP ST,23-200825,Property,Pearl,31-07-2023,2138,Vandalism,Vandalism,45.53154821,-122.6804137,7643417,687429,31-07-2023,1
48,7400 BLOCK OF SE MILWAUKIE AVE,23-918004,Property,Sellwood-Moreland,31-07-2023,940,Burglary,Burglary,45.47104258,-122.6483465,7651045,665156,31-07-2023,1
49,300 BLOCK OF W BURNSIDE ST,23-200651,Person,Downtown,31-07-2023,1816,Assault Offenses,Simple Assault,45.52306789,-122.6738782,7645008,684293,31-07-2023,1
50,0 BLOCK OF SE MORRISON ST,23-917971,Property,Buckman West,31-07-2023,1900,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.5171844,-122.6650708,7647207,682088,31-07-2023,1
51,14700 BLOCK OF SE DIVISION ST,23-200585,Property,Centennial,31-07-2023,1651,Larceny Offenses,All Other Larceny,45.50430251,-122.5111441,7686532,676373,31-07-2023,1
52,3500 BLOCK OF SE 166TH PL,23-200881,Property,Centennial,31-07-2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.49674834,-122.491215,7691572,673493,31-07-2023,1
53,400 BLOCK OF SW KINGSTON AVE,23-917979,Property,Arlington Heights,31-07-2023,1400,Larceny Offenses,Theft From Motor Vehicle,45.52036252,-122.7067,7636572,683535,31-07-2023,1
54,3400 BLOCK OF N WILLIAMS AVE,23-918030,Property,Eliot,31-07-2023,1951,Larceny Offenses,Shoplifting,45.54786011,-122.6667292,7647082,693280,31-07-2023,1
55,4400 BLOCK OF SE COTTONWOOD CT,23-917956,Property,,31-07-2023,1400,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.41825188,-122.6176128,7658422,645707,31-07-2023,1
56,4700 BLOCK OF N MISSISSIPPI AVE,23-917922,Property,Humboldt,31-07-2023,950,Counterfeiting/Forgery,Counterfeiting/Forgery,45.55722674,-122.6758898,7644828,696757,31-07-2023,1
57,3400 BLOCK OF NE SANDY BLVD,23-200124,Property,Laurelhurst,31-07-2023,203,Vandalism,Vandalism,45.53252965,-122.6285002,7656725,687432,31-07-2023,1
58,3400 BLOCK OF SE 77TH AVE,23-917988,Property,South Tabor,31-07-2023,1900,Vandalism,Vandalism,45.49773659,-122.5838218,7667843,674452,31-07-2023,1
59,1500 BLOCK OF SW CLAY ST,23-917945,Property,Goose Hollow,31-07-2023,1337,Larceny Offenses,All Other Larceny,45.51621818,-122.6905691,7640664,681912,31-07-2023,1
60,4500 BLOCK OF N CHANNEL AVE,23-917954,Property,Overlook,31-07-2023,900,Larceny Offenses,Theft From Motor Vehicle,45.55643697,-122.7025259,7638000,696654,31-07-2023,1
61,2600 BLOCK OF SW FAIRMOUNT BLVD,23-200238,Property,Southwest Hills,31-07-2023,2300,Larceny Offenses,All Other Larceny,45.49981739,-122.7039979,7637060,676028,31-07-2023,1
62,500 BLOCK OF N GRAHAM ST,23-917951,Property,Eliot,31-07-2023,330,Larceny Offenses,Theft From Motor Vehicle,45.54286677,-122.6712318,7645880,691491,31-07-2023,1
63,1600 BLOCK OF SE TACOMA ST,23-917932,Property,Sellwood-Moreland,31-07-2023,1100,Vandalism,Vandalism,45.46427704,-122.6480323,7651060,662688,31-07-2023,1
64,500 BLOCK OF NE 122ND AVE,23-917995,Property,Hazelwood,31-07-2023,1546,Fraud Offenses,Credit Card/ATM Fraud,45.52668365,-122.5378072,7679904,684702,31-07-2023,1
65,8300 BLOCK OF N IVANHOE ST,23-918010,Property,Cathedral Park,31-07-2023,1715,Larceny Offenses,Shoplifting,45.58875845,-122.7529013,7625430,708790,31-07-2023,1
66,8300 BLOCK OF NE ALDERWOOD RD,23-917990,Property,,31-07-2023,1215,Larceny Offenses,Theft From Building,45.57518414,-122.5752204,7670773,702624,31-07-2023,1
67,8300 BLOCK OF NE ALDERWOOD RD,23-917994,Property,,31-07-2023,1200,Larceny Offenses,Theft From Building,45.57518414,-122.5752204,7670773,702624,31-07-2023,1
68,3500 BLOCK OF NE EMERSON ST,23-917912,Property,Concordia,31-07-2023,1000,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.56136923,-122.6281213,7657099,697941,31-07-2023,1
69,3500 BLOCK OF NE 122ND AVE,23-917962,Property,Parkrose,31-07-2023,1600,Larceny Offenses,All Other Larceny,45.54840602,-122.5373963,7680209,692617,31-07-2023,1
70,4500 BLOCK OF NE 85TH AVE,23-200256,Property,Sumner,31-07-2023,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.55604116,-122.5755943,7670498,695649,31-07-2023,1
71,3500 BLOCK OF NE 92ND AVE,23-918027,Property,Madison South,31-07-2023,330,Fraud Offenses,Identity Theft,45.54837389,-122.568996,7672116,692811,31-07-2023,1
72,2700 BLOCK OF NE GLISAN ST,23-200138,Property,Kerns,31-07-2023,238,Robbery,Robbery,45.52642303,-122.6376275,7654328,685268,31-07-2023,1
73,SW HARVEY MILK ST / SW 11TH AVE,23-918032,Property,Downtown,31-07-2023,2030,Larceny Offenses,Theft From Motor Vehicle,45.52229495,-122.682088,7642897,684068,31-07-2023,1
74,5700 BLOCK OF N MARYLAND AVE,23-918012,Property,Overlook,31-07-2023,230,Burglary,Burglary,45.56443962,-122.6812559,7643525,699423,31-07-2023,1
